date,port_ret,equity,market_ok,market_price,market_sma,market_entry_th,market_exit_th,n_holdings,gross_exposure,cash_weight,risk_on_portfolio
2021-02-03,0.0,1.1714410717777453,1,1.6880644829190175,1.5509668675667179,1.5819862049180522,1.5509668675667179,1,0.0,1.0,0
2021-02-04,0.0,1.1714410717777453,1,1.6830507869913216,1.5558992426008487,1.5870172274528658,1.5558992426008487,1,0.0,1.0,0
2021-02-05,0.0,1.1714410717777453,1,1.6984216219221742,1.5607855287777974,1.5920012393533534,1.5607855287777974,1,0.0,1.0,0
2021-02-08,0.0,1.1714410717777453,1,1.7010677145513595,1.5654388186641934,1.5967475950374774,1.5654388186641934,1,0.0,1.0,0
2021-02-09,0.0,1.1714410717777453,1,1.699962636090644,1.5701268336804355,1.6015293703540443,1.5701268336804355,1,0.0,1.0,0
2021-02-10,0.0,1.1714410717777453,1,1.714741600335363,1.5751344373901994,1.6066371261380035,1.5751344373901994,1,0.0,1.0,0
2021-02-15,0.0,1.1714410717777453,1,1.7244326611712222,1.579978270179409,1.611577835582997,1.579978270179409,1,0.0,1.0,0
2021-02-16,0.0,1.1714410717777453,1,1.7294789229640843,1.584909704041436,1.6166078981222647,1.584909704041436,1,0.0,1.0,0
2021-02-17,0.0,1.1714410717777453,1,1.7240366238329516,1.589712794940713,1.6215070508395273,1.589712794940713,1,0.0,1.0,0
2021-02-18,0.0,1.1714410717777453,1,1.7073355597757236,1.5942814568793593,1.6261670860169466,1.5942814568793593,1,0.0,1.0,0
2021-02-19,0.0,1.1714410717777453,1,1.7130833974440234,1.598790525371024,1.6307663358784446,1.598790525371024,1,0.0,1.0,0
2021-02-22,0.0,1.1714410717777453,1,1.7076382683050424,1.6028810598966168,1.6349386810945492,1.6028810598966168,1,0.0,1.0,0
2021-02-23,0.0,1.1714410717777453,1,1.7034792234835896,1.6067674904173472,1.6389028402256942,1.6067674904173472,1,0.0,1.0,0
2021-02-24,0.0,1.1714410717777453,1,1.651681597212528,1.6098587480397462,1.6420559230005412,1.6098587480397462,1,0.0,1.0,0
2021-02-25,0.0,1.1714410717777453,1,1.6950950944011496,1.6136388881928032,1.6459116659566593,1.6136388881928032,1,0.0,1.0,0
2021-02-26,0.0,1.1714410717777453,1,1.661707147681942,1.616751897992027,1.6490869359518676,1.616751897992027,1,0.0,1.0,0
2021-03-02,0.0,1.1714410717777453,1,1.668446819596633,1.6202335877889515,1.6526382595447306,1.6202335877889515,1,0.0,1.0,0
2021-03-03,0.0,1.1714410717777453,1,1.6950567622092174,1.62381793721683,1.6562942959611666,1.62381793721683,1,0.0,1.0,0
2021-03-04,0.0,1.1714410717777453,1,1.686628533572316,1.6270858989715806,1.6596276169510122,1.6270858989715806,1,0.0,1.0,0
2021-03-05,0.0,1.1714410717777453,1,1.6780584584062057,1.6301530904557275,1.6627561522648422,1.6301530904557275,1,0.0,1.0,0
2021-03-08,0.0,1.1714410717777453,1,1.6662629080274864,1.6329877211598245,1.665647475583021,1.6329877211598245,1,0.0,1.0,0
2021-03-09,0.0,1.1714410717777453,1,1.6615522937871887,1.635865981499642,1.6685833011296347,1.635865981499642,1,0.0,1.0,0
2021-03-10,0.0,1.1714410717777453,1,1.649471140188247,1.6387303643558466,1.6715049716429635,1.6387303643558466,1,0.0,1.0,0
2021-03-11,0.0,1.1714410717777453,1,1.6756729325862494,1.6416380198389855,1.6744707802357652,1.6416380198389855,1,0.0,1.0,0
2021-03-12,0.0,1.1714410717777453,1,1.7011326208314697,1.6448305924470124,1.6777272042959526,1.6448305924470124,1,0.0,1.0,0
2021-03-15,0.0,1.1714410717777453,1,1.7078290627988733,1.6477494412569282,1.6807044300820668,1.6477494412569282,1,0.0,1.0,0
2021-03-16,0.0,1.1714410717777453,1,1.7210089081285371,1.6510759438884375,1.6840974627662062,1.6510759438884375,1,0.0,1.0,0
2021-03-17,0.0,1.1714410717777453,1,1.7205290179501493,1.65437378435766,1.6874612600448133,1.65437378435766,1,0.0,1.0,0
2021-03-18,0.0,1.1714410717777453,1,1.723229144862279,1.6574297569761678,1.6905783521156912,1.6574297569761678,1,0.0,1.0,0
2021-03-19,0.0,1.1714410717777453,1,1.7209674584002383,1.6604228789848015,1.6936313365644975,1.6604228789848015,1,0.0,1.0,0
2021-03-22,0.0,1.1714410717777453,1,1.7220291707778266,1.6633833263599027,1.6966509928871008,1.6633833263599027,1,0.0,1.0,0
2021-03-23,0.0,1.1714410717777453,1,1.7023918698930818,1.6659273307939864,1.6992458774098662,1.6659273307939864,1,0.0,1.0,0
2021-03-24,0.0,1.1714410717777453,1,1.701485086645222,1.6689326493768368,1.7023113023643737,1.6689326493768368,1,0.0,1.0,0
2021-03-25,0.0,1.1714410717777453,1,1.7136149645711296,1.6720495830573694,1.7054905747185167,1.6720495830573694,1,0.0,1.0,0
2021-03-26,0.0,1.1714410717777453,1,1.7390726009412323,1.6753746719323834,1.708882165371031,1.6753746719323834,1,0.0,1.0,0
2021-03-29,0.0,1.1714410717777453,1,1.7399028685955225,1.6787342659756717,1.712308951295185,1.6787342659756717,1,0.0,1.0,0
