strategy,rebalance_date,fund_asof_date,ticker,weight,regime,regime_score,growth_score,score_rank,top_n,good_regimes,sma_window,require_above_sma,market_gate,market_ok,market_price,market_sma,market_sma_window,market_sma_mult,market_entry_mult,market_exit_mult
S2,2017-05-31,,042700,0.03333333333333333,4.0,0.8392857142857143,10.799999999999999,7.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,047040,0.03333333333333333,4.0,0.8,56.0,52.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,051900,0.03333333333333333,3.0,0.6142857142857143,30.4,22.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,056190,0.03333333333333333,4.0,0.925,5.5,4.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,064260,0.03333333333333333,3.0,0.7357142857142858,15.2,11.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,066570,0.03333333333333333,4.0,0.8785714285714286,66.5,68.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,069620,0.03333333333333333,3.0,0.6464285714285715,62.599999999999994,59.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,069960,0.03333333333333333,3.0,0.6857142857142857,46.3,37.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,082740,0.03333333333333333,4.0,0.825,53.199999999999996,47.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,084370,0.03333333333333333,3.0,0.6785714285714286,8.2,5.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,112610,0.03333333333333333,4.0,0.9464285714285714,65.69999999999999,66.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-05-31,,139480,0.03333333333333333,3.0,0.6964285714285714,45.599999999999994,36.0,30,"4,3",140,True,True,True,1.2926647449008888,1.2158161441110173,60,1.02,1.02,1.0
S2,2017-06-30,,000660,0.03333333333333333,4.0,0.8687943262411347,89.19999999999999,91.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,000990,0.03333333333333333,3.0,0.6524822695035462,25.699999999999996,20.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,002380,0.03333333333333333,3.0,0.776595744680851,63.39999999999999,61.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,004170,0.03333333333333333,3.0,0.7624113475177305,42.9,32.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,004800,0.03333333333333333,4.0,0.8333333333333334,74.5,79.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,005930,0.03333333333333333,3.0,0.6170212765957447,63.2,60.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,006260,0.03333333333333333,3.0,0.6312056737588653,60.8,56.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,006400,0.03333333333333333,4.0,0.8049645390070922,68.49999999999999,70.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,008770,0.03333333333333333,4.0,0.8014184397163121,43.2,33.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,009150,0.03333333333333333,4.0,0.9574468085106383,85.4,87.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,009830,0.03333333333333333,3.0,0.6453900709219859,22.099999999999998,14.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,011070,0.03333333333333333,3.0,0.7163120567375887,88.6,90.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,012510,0.03333333333333333,4.0,0.8191489361702128,33.699999999999996,25.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,018260,0.03333333333333333,4.0,0.8829787234042553,55.5,50.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,020560,0.03333333333333333,4.0,0.851063829787234,52.6,44.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,028260,0.03333333333333333,3.0,0.6631205673758865,3.5999999999999996,2.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,034730,0.03333333333333333,3.0,0.6773049645390071,3.1999999999999997,1.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,036460,0.03333333333333333,3.0,0.7446808510638298,92.39999999999999,94.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
S2,2017-06-30,,036570,0.03333333333333333,4.0,0.8404255319148937,23.7,17.0,30,"4,3",140,True,True,True,1.3041312671604581,1.2560341856614348,60,1.02,1.02,1.0
