rebalance_date,side,buy_date,ticker,name,market,price,qty,amount,first_buy_date,sell_price,pnl
2017-06-14,SELL,2017-06-07,095660,네오위즈,KOSDAQ,,1,13250.0,2017-06-07,13250.0,-350.0
2017-06-14,SELL,2017-05-31,139480,이마트,KOSPI,,1,237000.0,2017-05-31,237000.0,-6000.0
2017-06-14,SELL,2017-06-07,161890,한국콜마,KOSPI,,1,76500.0,2017-06-07,76500.0,-6400.0
2017-06-21,BUY,2017-06-21,000990,DB하이텍,KOSPI,21750.0,1,21750.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,006280,녹십자,KOSPI,179000.0,1,179000.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,009970,영원무역홀딩스,KOSPI,59700.0,1,59700.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,012750,에스원,KOSPI,98000.0,1,98000.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,034230,파라다이스,KOSPI,15400.0,1,15400.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,095660,네오위즈,KOSDAQ,13450.0,1,13450.0,2017-06-21,,
2017-06-21,BUY,2017-06-21,161390,한국타이어앤테크놀로지,KOSPI,63800.0,1,63800.0,2017-06-21,,
2017-06-21,SELL,2017-05-10,002790,아모레퍼시픽홀딩스,KOSPI,,1,133193.0,2017-05-10,133193.0,-16961.0
2017-06-21,SELL,2017-06-14,006260,LS,KOSPI,,1,71400.0,2017-06-14,71400.0,-3000.0
2017-06-21,SELL,2017-05-24,018880,한온시스템,KOSPI,,1,10178.0,2017-05-24,10178.0,790.0
2017-06-21,SELL,2017-06-07,065350,신성델타테크,KOSDAQ,,1,3470.0,2017-06-07,3470.0,-130.0
2017-06-21,SELL,2017-06-14,066970,엘앤에프,KOSPI,,1,19656.0,2017-06-14,19656.0,835.0
2017-06-21,SELL,2017-04-05,069620,대웅제약,KOSPI,,1,87100.0,2017-04-05,87100.0,-1300.0
2017-06-21,SELL,2017-06-07,090430,아모레퍼시픽,KOSPI,,1,305000.0,2017-06-07,305000.0,-31000.0
2017-06-28,BUY,2017-06-28,004800,효성,KOSPI,75675.0,1,75675.0,2017-06-28,,
2017-06-28,BUY,2017-06-28,005440,현대지에프홀딩스,KOSPI,11691.0,1,11691.0,2017-06-28,,
